tanggal,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II,Bawang Merah Ukuran Sedang,Cabai Rawit Hijau,Cabai Rawit Merah
2021-01-04,10.400,9.900,11.750,11.000,12.750,12.400,32.250,56.250,62.500
2021-01-05,10.400,9.900,11.750,11.000,12.750,12.400,31.750,56.250,68.750
2021-01-06,10.400,9.900,11.750,11.000,12.750,12.400,31.750,56.250,68.750
2021-01-07,10.400,9.900,11.750,11.000,12.750,12.400,31.750,56.000,71.250
2021-01-08,10.400,9.900,11.750,11.000,12.750,12.400,31.750,56.000,71.250
2021-01-09,,,,,,,,,
2021-01-10,,,,,,,,,
2021-01-11,10.400,9.900,11.750,11.000,12.750,12.400,31.750,56.250,73.750
2021-01-12,10.400,9.900,11.750,11.000,12.750,12.400,32.750,56.250,73.750
2021-01-13,10.400,9.900,11.750,11.000,12.750,12.400,32.750,55.000,71.250
2021-01-14,10.400,9.900,11.750,11.000,12.750,12.400,29.750,55.000,71.250
2021-01-15,10.400,9.900,11.750,11.000,12.750,12.400,28.500,57.500,71.250
2021-01-16,,,,,,,,,
2021-01-17,,,,,,,,,
2021-01-18,10.400,9.900,11.750,11.000,12.750,12.400,29.000,58.750,66.250
2021-01-19,10.400,9.900,11.750,11.000,12.750,12.400,29.000,58.750,65.000
2021-01-20,10.400,9.900,11.750,11.000,12.750,12.400,28.500,57.500,65.000
2021-01-21,10.400,9.900,11.750,11.000,12.750,12.400,28.500,57.500,65.000
2021-01-22,10.400,9.900,11.750,11.000,12.750,12.400,28.500,57.500,66.250
2021-01-23,,,,,,,,,
2021-01-24,,,,,,,,,
2021-01-25,10.400,9.900,11.750,11.000,12.750,12.400,26.000,58.750,70.000
2021-01-26,10.400,9.900,11.750,11.000,12.750,12.400,26.000,61.250,71.250
2021-01-27,10.400,9.900,11.750,11.000,12.750,12.400,26.000,62.500,71.250
2021-01-28,10.400,9.900,11.750,11.000,12.750,12.400,26.000,62.500,72.500
2021-01-29,10.400,9.900,11.750,11.000,12.750,12.400,26.000,62.500,72.500
2021-01-30,,,,,,,,,
2021-01-31,,,,,,,,,
2021-02-01,10.400,9.900,11.750,11.000,12.750,12.400,26.000,66.250,71.250
2021-02-02,10.400,9.900,11.750,11.000,12.750,12.400,26.000,63.000,72.500
2021-02-03,10.400,9.900,11.750,11.000,12.750,12.400,26.000,63.000,72.500
2021-02-04,10.400,9.900,11.750,11.000,12.750,12.400,26.000,63.000,72.500
2021-02-05,10.400,9.900,11.750,11.000,12.750,12.400,26.000,63.750,72.500
2021-02-06,,,,,,,,,
2021-02-07,,,,,,,,,
2021-02-08,10.400,9.900,11.750,11.000,12.750,12.400,26.750,63.750,71.250
2021-02-09,10.400,9.900,11.750,11.000,12.750,12.400,26.750,63.750,70.000
2021-02-10,10.400,9.900,11.750,11.000,12.750,12.400,26.750,63.750,67.500
2021-02-11,10.400,9.900,11.750,11.000,12.750,12.400,26.750,67.500,70.000
2021-02-12,,,,,,,,,
2021-02-13,,,,,,,,,
2021-02-14,,,,,,,,,
2021-02-15,10.400,9.900,11.750,11.000,12.750,12.400,28.250,67.500,71.250
2021-02-16,10.400,9.900,11.750,11.000,12.750,12.400,28.250,67.500,75.000
2021-02-17,10.400,9.900,11.750,11.000,12.750,12.400,28.250,66.250,76.250
2021-02-18,10.400,9.900,11.750,11.000,12.750,12.400,28.250,65.000,78.750
